순번,호출부호,입항횟수,입항횟수.1,입항횟수.2,신고톤수,선박명,선사/대리점,선사/대리점.1,신청시설,신청시설.1,신청시설.2,신청일시(FROM ~ TO),신청일시(FROM ~ TO).1,지정시설,지정시설.1,지정시설.2,지정일시(FROM ~ TO),지정일시(FROM ~ TO).1,사용목적명,예보일시,허가유무
356,083802,2023,6,25,1.046,금오6001호,BSK3141,금오로지스 주식회사,MK4,05,감천 4부두 5선석,2023-10-03 18:00,2023-10-07 23:00,MK4,05,감천 4부두 5선석,2023-10-03 18:00,2023-10-07 23:00,접안대기,2023-10-04,허가완료
366,166803,2023,12,1,396,로원호,BSZ3632,로원,MW5,01,5물량장 1선석,2023-10-03 15:40,2023-10-04 07:30,MW5,01,5물량장 1선석,2023-10-03 15:40,2023-10-04 07:30,접안대기,2023-10-04,허가완료
368,021734,2023,2,6,322,대명2000호,BSZ9932,명성티엔비,MKD,02,다대부두 2선석,2023-10-04 10:00,2023-10-04 23:00,MKD,02,다대부두 2선석,2023-10-04 10:00,2023-10-04 23:00,접안대기,2023-10-04,허가완료
370,935257,2023,21,13,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-26 13:00,2023-09-27 15:35,,,,,,접안대기,2023-10-04,미허가
372,935257,2023,21,15,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-27 18:40,2023-09-30 10:15,,,,,,접안대기,2023-10-04,미허가
373,935257,2023,21,17,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-30 13:55,2023-10-01 07:20,,,,,,접안대기,2023-10-04,미허가
375,935257,2023,21,18,41,해광호,BSZ3365,해광마린,MWB,01,봉래동물량장,2023-10-01 07:30,2023-10-01 07:35,,,,,,접안대기,2023-10-04,미허가
378,935257,2023,21,20,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-01 09:50,2023-10-02 00:55,,,,,,접안대기,2023-10-04,미허가
381,935257,2023,21,22,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-02 03:10,2023-10-02 03:30,,,,,,접안대기,2023-10-04,미허가
382,935257,2023,21,23,41,해광호,BSZ3365,해광마린,MWB,01,봉래동물량장,2023-10-02 03:45,2023-10-02 07:00,,,,,,접안대기,2023-10-04,미허가
390,011101,2023,61,1,125,제101영진호,BSU2626,(주)인창마린,MW5,01,5물량장 1선석,2023-09-27 07:35,2023-09-28 13:15,MW5,01,5물량장 1선석,2023-09-27 07:35,2023-09-28 13:15,접안대기,2023-10-04,허가완료
392,220023,2023,99,1,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-09-27 16:35,2023-09-29 22:15,MW5,01,5물량장 1선석,2023-09-27 16:35,2023-09-29 22:15,접안대기,2023-10-04,허가완료
394,220023,2023,99,3,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-09-30 05:20,2023-09-30 07:30,MW5,01,5물량장 1선석,2023-09-30 05:20,2023-09-30 07:30,접안대기,2023-10-04,허가완료
395,120004,2023,40,5,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-09-27 21:20,2023-09-28 07:35,MW5,01,5물량장 1선석,2023-09-27 21:20,2023-09-28 07:35,접안대기,2023-10-04,허가완료
397,120004,2023,40,6,299,뉴동신호,BSZ9968,(주)동신기업,WAN,04,남외항 N-4박지,2023-09-28 08:50,2023-09-28 12:20,WAN,04,남외항 N-4박지,2023-09-28 08:50,2023-09-28 12:20,접안대기,2023-10-04,허가완료
399,120004,2023,40,7,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-09-28 13:15,2023-10-01 15:20,MW5,01,5물량장 1선석,2023-09-28 13:15,2023-10-01 15:20,접안대기,2023-10-04,허가완료
400,120004,2023,40,8,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-01 15:45,2023-10-01 18:00,OLD,01,동명호안,2023-10-01 15:45,2023-10-01 18:00,접안대기,2023-10-04,허가완료
401,120004,2023,40,9,299,뉴동신호,BSZ9968,(주)동신기업,MS4,02,신항 4부두 2선석,2023-10-01 20:45,2023-10-02 00:25,MS4,02,신항 4부두 2선석,2023-10-01 20:45,2023-10-02 00:25,접안대기,2023-10-04,허가완료
402,120004,2023,40,10,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-02 03:00,2023-10-02 07:20,MW5,01,5물량장 1선석,2023-10-02 03:00,2023-10-02 07:20,접안대기,2023-10-04,허가완료
403,120004,2023,40,12,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-02 09:35,2023-10-02 15:05,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-02 09:35,2023-10-02 15:05,접안대기,2023-10-04,허가완료
406,080122,2023,8,1,143,제이에스5호,BSZ2844,제이에스마린(JS마린),OLH,01,청학안벽,2023-09-26 07:10,2023-09-26 11:20,OLH,01,청학안벽,2023-09-26 07:10,2023-09-26 11:20,접안대기,2023-10-04,허가완료
407,120004,2023,41,1,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-03 04:30,2023-10-03 07:20,MW5,01,5물량장 1선석,2023-10-03 04:30,2023-10-03 07:20,접안대기,2023-10-04,허가완료
408,120004,2023,41,2,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-03 07:50,2023-10-03 10:05,OLD,01,동명호안,2023-10-03 07:50,2023-10-03 10:05,접안대기,2023-10-04,허가완료
409,120004,2023,41,3,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-03 10:15,2023-10-03 11:55,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-03 10:15,2023-10-03 11:55,접안대기,2023-10-04,허가완료
410,058282,2023,53,1,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-18 11:50,2023-09-27 08:25,MW5,01,5물량장 1선석,2023-09-18 11:50,2023-09-27 08:25,접안대기,2023-10-04,허가완료
411,120004,2023,41,5,299,뉴동신호,BSZ9968,(주)동신기업,MB6,01,자성대부두 61선석,2023-10-03 16:05,2023-10-03 18:10,MB6,01,자성대부두 61선석,2023-10-03 16:05,2023-10-03 18:10,접안대기,2023-10-04,허가완료
412,120004,2023,41,6,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-03 18:40,2023-10-03 20:10,OLD,01,동명호안,2023-10-03 18:40,2023-10-03 20:10,접안대기,2023-10-04,허가완료
413,120004,2023,41,7,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-03 20:45,2023-10-04 00:20,MW5,01,5물량장 1선석,2023-10-03 20:45,2023-10-04 00:20,접안대기,2023-10-04,허가완료
414,120004,2023,41,8,299,뉴동신호,BSZ9968,(주)동신기업,MBR,03,감만부두 3선석,2023-10-04 00:40,2023-10-04 03:10,MBR,03,감만부두 3선석,2023-10-04 00:40,2023-10-04 03:10,접안대기,2023-10-04,허가완료
415,120004,2023,41,9,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-04 03:30,2023-10-04 07:25,MW5,01,5물량장 1선석,2023-10-04 03:30,2023-10-04 07:25,접안대기,2023-10-04,허가완료
416,058282,2023,54,1,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-28 07:30,2023-09-30 03:25,MW5,01,5물량장 1선석,2023-09-28 07:30,2023-09-30 03:25,접안대기,2023-10-04,허가완료
418,058282,2023,55,1,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-30 21:40,2023-10-02 10:00,MW5,01,5물량장 1선석,2023-09-30 21:40,2023-10-02 10:00,접안대기,2023-10-04,허가완료
423,120050,2023,23,1,4.665,대진8001,BSK2138,대진해운(주),MK7,02,감천 7부두 2선석,2023-10-03 08:00,2023-10-05 09:00,MK7,02,감천 7부두 2선석,2023-10-03 08:00,2023-10-05 09:00,접안대기,2023-10-04,허가완료
451,088443,2023,19,1,5.589,이에스 로즈,BSK3046,에스토라해운(주),WAE,01,E박지 E1 묘지,2023-10-04 14:00,2023-10-05 08:00,WAE,01,E박지 E1 묘지,2023-10-04 14:00,2023-10-05 08:00,접안대기,2023-10-04,허가완료
452,170036,2023,80,1,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-09-25 14:20,2023-09-25 18:00,MW5,01,5물량장 1선석,2023-09-25 14:20,2023-09-25 18:00,접안대기,2023-10-04,허가완료
453,170036,2023,80,2,438,17유성호,BSK9407,세양상사,MDY,01,영도(KOCO) 돌핀,2023-09-25 18:20,2023-09-25 20:20,MDY,01,영도(KOCO) 돌핀,2023-09-25 18:20,2023-09-25 20:20,접안대기,2023-10-04,허가완료
454,170036,2023,80,3,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-09-25 20:40,2023-09-26 08:30,MW5,01,5물량장 1선석,2023-09-25 20:40,2023-09-26 08:30,접안대기,2023-10-04,허가완료
455,060595,2023,9,3,149,상현,BSK9408,유진마린,MW5,01,5물량장 1선석,2023-09-23 16:40,2023-09-27 07:35,,,,,,접안대기,2023-10-04,미허가
457,170036,2023,80,4,438,17유성호,BSK9407,세양상사,WAM,09,M박지 M9 묘지,2023-09-26 09:00,2023-09-26 12:45,WAM,09,M박지 M9 묘지,2023-09-26 09:00,2023-09-26 12:45,접안대기,2023-10-04,허가완료
458,170036,2023,80,5,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-09-26 13:10,2023-09-26 19:40,MW5,01,5물량장 1선석,2023-09-26 13:10,2023-09-26 19:40,접안대기,2023-10-04,허가완료
463,060595,2023,9,5,149,상현,BSK9408,유진마린,MW5,01,5물량장 1선석,2023-09-27 10:40,2023-09-27 14:30,,,,,,접안대기,2023-10-04,미허가
464,060595,2023,9,8,149,상현,BSK9408,유진마린,MW5,01,5물량장 1선석,2023-09-27 19:30,2023-09-28 14:55,,,,,,접안대기,2023-10-04,미허가
465,060595,2023,9,10,149,상현,BSK9408,유진마린,MW5,01,5물량장 1선석,2023-09-28 19:15,2023-10-02 07:55,,,,,,접안대기,2023-10-04,미허가
467,060595,2023,9,12,149,상현,BSK9408,유진마린,MW5,01,5물량장 1선석,2023-10-02 14:45,2023-10-03 15:10,,,,,,접안대기,2023-10-04,미허가
471,975981,2023,106,1,123,제2승한호,BSU2630,(주)도담마린,MW5,01,5물량장 1선석,2023-09-27 13:10,2023-10-04 07:10,MW5,01,5물량장 1선석,2023-09-27 13:10,2023-10-04 07:10,접안대기,2023-10-04,허가완료
479,106362,2023,5,2,1.782,삼양8003호,BSZ7604,삼양해운(주),OLH,01,청학안벽,2023-10-03 12:00,2023-10-15 12:00,OLH,01,청학안벽,2023-10-03 12:00,2023-10-15 12:00,접안대기,2023-10-04,허가완료
495,200036,2023,22,8,299,극동1호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-09-26 04:55,2023-09-30 14:45,MW5,01,5물량장 1선석,2023-09-26 04:55,2023-09-30 14:45,접안대기,2023-10-04,허가완료
504,170036,2023,82,2,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-09-28 13:10,2023-09-29 12:40,MW5,01,5물량장 1선석,2023-09-28 13:10,2023-09-29 12:40,접안대기,2023-10-04,허가완료
505,200036,2023,22,12,299,극동1호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-01 13:45,2023-10-02 13:20,MW5,01,5물량장 1선석,2023-10-01 13:45,2023-10-02 13:20,접안대기,2023-10-04,허가완료
507,170036,2023,82,4,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-09-29 17:10,2023-09-30 09:35,MW5,01,5물량장 1선석,2023-09-29 17:10,2023-09-30 09:35,접안대기,2023-10-04,허가완료
509,130010,2023,92,1,200,32대영호,BSB2287,보성마린,MSN,02,신항 1부두 2선석,2023-09-27 13:50,2023-09-27 16:55,MSN,02,신항 1부두 2선석,2023-09-27 13:50,2023-09-27 16:55,접안대기,2023-10-04,허가완료
510,200036,2023,22,14,299,극동1호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-02 22:20,2023-10-04 01:10,MW5,01,5물량장 1선석,2023-10-02 22:20,2023-10-04 01:10,접안대기,2023-10-04,허가완료
511,130010,2023,92,2,200,32대영호,BSB2287,보성마린,MW5,01,5물량장 1선석,2023-09-27 19:50,2023-09-28 13:00,MW5,01,5물량장 1선석,2023-09-27 19:50,2023-09-28 13:00,접안대기,2023-10-04,허가완료
517,140035,2023,59,1,843,동방7호,BSZ3596,(주)태진해운,MW5,01,5물량장 1선석,2023-09-27 22:15,2023-09-28 11:23,MW5,01,5물량장 1선석,2023-09-27 22:15,2023-09-28 11:23,접안대기,2023-10-04,허가완료
